,חוגים,האם נמצא במערכת יחסים,"שעות פנוי 
1-5 סובייקטיבי","האם יוצא עם חברים?
1-5 ","צריכת אלכוהל ביום חול
1-5","צריכת אלכוהל בסופש
1-5",מין,גיל,האם היה בגן רגיל,האם יש גישה לאינטרנט בבית,"מצב בריאותי
1-5","
1- פחות מ15 דק
2-15-30 דק
3- 30-60 דק'
4-מעל 60 דק","שעות למידה בשבוע - 
1 - פחות מ2
2- 2-5 
3 - 5-10 
4 - 10+",מספר הקורסים שנכשל הסטודנט,תמיכה חיצונית ללימודים,האם המשפחה עוזרת בלימודים,האם לוקח שיעורי העשרה בתשלום,מעוניין בלימודים אקדמיים,"היעדרויות
",ציון מחצית 1,ציון מחצית 2,"ציון סופי
0-20"
129,yes,no,3,3,1,2,M,18,yes,yes,4,1,1,2,no,yes,no,yes,0,7,4,0
130,yes,no,5,5,2,5,M,16,yes,yes,4,1,1,0,no,no,yes,yes,8,18,18,18
131,no,yes,2,2,2,2,F,15,yes,yes,5,2,3,2,no,yes,no,yes,0,12,0,0
132,yes,yes,3,3,1,2,F,15,no,yes,4,3,1,0,no,yes,no,yes,0,8,0,0
133,no,yes,4,4,1,3,F,17,yes,yes,5,1,1,0,no,yes,no,yes,12,10,13,12
134,no,no,2,1,1,4,F,16,yes,yes,5,1,1,0,no,no,no,yes,16,12,11,11
135,no,yes,3,3,1,1,M,15,yes,no,5,4,2,0,no,yes,no,yes,0,9,0,0
136,yes,yes,3,3,1,1,F,15,yes,yes,5,1,3,0,no,yes,no,yes,0,11,0,0
137,no,no,4,5,2,4,M,17,yes,no,5,3,2,0,no,no,no,yes,0,10,0,0
138,yes,yes,3,2,1,1,F,16,no,yes,5,2,1,2,no,yes,no,yes,0,4,0,0
139,no,yes,4,4,1,3,M,16,yes,no,5,1,2,1,no,no,no,yes,0,14,12,12
140,yes,no,3,2,1,1,F,15,yes,yes,5,2,1,0,no,no,no,yes,0,16,16,15
141,no,no,2,2,1,1,M,15,yes,yes,3,2,4,0,yes,yes,no,yes,0,7,9,0
142,yes,no,3,3,2,2,M,16,yes,yes,2,2,1,2,no,yes,no,yes,8,9,9,9
143,yes,no,2,2,1,1,F,15,yes,yes,5,1,3,0,no,yes,yes,yes,2,9,11,11
144,no,no,4,4,3,3,F,16,yes,yes,1,1,1,0,no,no,no,yes,2,14,14,13
145,no,no,4,5,1,2,M,17,yes,yes,5,1,1,3,no,yes,no,yes,0,5,0,0
146,no,no,4,2,1,2,F,15,yes,yes,5,1,2,0,no,yes,yes,yes,0,8,11,11
147,no,no,3,2,1,1,F,15,yes,yes,3,1,2,3,no,yes,no,yes,0,6,7,0
148,no,no,3,2,1,1,F,15,no,yes,5,1,2,0,no,yes,yes,yes,2,10,11,11
149,no,yes,3,2,2,1,M,16,yes,yes,5,1,1,0,no,yes,no,no,0,7,6,0
150,no,no,5,5,2,5,M,15,yes,yes,5,4,1,3,no,no,no,yes,0,8,9,10
151,no,yes,3,5,2,5,M,18,yes,yes,4,1,1,3,no,no,no,no,0,6,5,0
152,yes,yes,4,4,3,5,M,16,yes,no,5,1,1,1,no,no,no,yes,6,12,13,14
153,yes,yes,2,1,2,3,F,15,yes,yes,3,2,3,2,no,yes,yes,yes,8,10,10,10
154,no,yes,5,4,1,1,M,19,yes,yes,4,1,1,3,no,yes,no,no,0,5,0,0
155,no,yes,2,1,1,1,F,17,yes,no,4,1,1,0,yes,yes,no,yes,0,11,11,12
156,yes,no,4,4,1,1,M,15,yes,no,1,1,2,0,yes,no,yes,yes,2,11,8,8
157,no,no,2,2,3,3,M,17,yes,no,5,1,1,0,no,no,no,yes,8,16,12,13
158,yes,no,2,5,1,5,F,18,no,no,4,3,1,3,no,yes,no,yes,6,9,8,10
159,no,no,2,2,1,2,M,16,no,no,3,3,1,0,no,no,no,yes,2,17,15,15
160,no,yes,5,5,4,4,M,16,yes,yes,5,1,2,1,no,yes,yes,yes,4,10,12,12
161,yes,yes,3,2,2,2,M,17,yes,yes,5,2,1,2,no,no,no,no,0,7,6,0
162,no,yes,4,4,1,4,M,15,yes,yes,3,2,2,2,yes,yes,no,yes,6,5,9,7
163,yes,no,4,4,2,4,M,16,yes,no,5,2,1,1,no,no,no,yes,0,7,0,0
164,no,no,3,3,1,4,M,17,yes,yes,2,1,1,0,no,no,no,no,2,10,10,10
165,yes,yes,3,5,1,5,M,17,yes,no,5,4,2,3,no,no,no,no,0,5,8,7
166,yes,no,5,2,1,1,M,16,no,no,2,2,1,1,no,yes,no,no,16,12,11,12
167,no,no,3,5,2,4,M,16,yes,yes,4,1,2,0,no,no,no,no,4,10,10,10
168,no,yes,2,3,1,1,F,16,yes,yes,3,1,2,0,no,no,yes,yes,0,14,15,16
169,no,no,1,5,1,1,F,16,no,yes,4,1,2,0,no,yes,yes,yes,0,6,7,0
170,no,yes,4,2,1,1,F,16,yes,yes,3,1,2,0,no,yes,yes,yes,0,14,14,14
171,yes,no,4,5,2,4,M,16,no,yes,2,3,1,2,no,yes,no,yes,0,6,5,0
172,yes,yes,3,2,1,1,M,16,yes,yes,3,2,2,0,no,yes,yes,yes,2,13,15,16
173,yes,no,4,4,1,3,M,17,yes,yes,5,1,2,0,no,yes,yes,yes,0,13,11,10
174,yes,yes,3,5,1,1,F,16,no,yes,3,1,2,3,no,no,no,yes,0,8,7,0
175,yes,no,4,5,1,1,F,16,yes,yes,4,2,2,0,no,yes,yes,yes,4,10,11,9
176,yes,no,4,4,4,4,M,17,yes,yes,4,2,2,0,no,no,yes,yes,4,10,9,9
177,yes,no,4,4,1,4,F,16,no,yes,5,2,2,0,no,no,yes,yes,2,13,13,11
178,yes,no,3,4,1,4,M,17,no,yes,4,1,2,0,no,no,no,yes,4,6,5,6
179,yes,yes,3,3,3,4,M,16,yes,yes,3,1,1,0,no,yes,no,yes,10,10,8,9
180,yes,yes,2,3,1,1,M,17,yes,yes,2,1,2,0,no,yes,no,yes,4,10,10,11
181,yes,no,4,3,2,3,M,16,yes,yes,3,1,2,0,no,yes,yes,yes,10,9,8,8
182,yes,yes,2,3,1,2,M,16,yes,yes,3,1,2,0,no,no,yes,yes,2,12,13,12
183,yes,no,4,2,2,3,F,17,yes,no,5,1,2,0,no,yes,no,yes,0,16,17,17
184,yes,yes,3,3,2,3,F,17,yes,yes,1,1,2,0,no,yes,no,yes,56,9,9,8
185,no,no,2,2,1,2,F,16,yes,yes,1,1,2,0,no,yes,yes,yes,14,12,13,12
186,yes,yes,3,4,2,3,M,17,yes,yes,4,1,2,0,no,yes,no,yes,12,12,12,11
187,yes,yes,3,3,1,2,M,16,yes,yes,3,1,1,0,no,yes,yes,yes,2,11,12,11
188,yes,yes,2,3,1,2,M,16,yes,yes,5,1,2,0,no,no,yes,yes,0,15,15,15
189,no,yes,3,3,1,3,F,17,no,yes,3,1,2,0,no,yes,no,yes,6,8,7,9
190,no,no,1,3,1,5,M,17,yes,no,3,1,2,0,no,no,no,yes,4,8,9,10
191,no,no,3,3,1,1,F,16,yes,yes,2,1,2,0,no,no,no,yes,10,11,12,13
192,yes,no,3,3,1,1,F,17,yes,yes,3,1,2,0,no,no,no,yes,0,8,8,9
193,yes,no,4,4,4,5,M,17,no,yes,5,2,2,0,no,no,yes,yes,12,7,8,8
194,yes,no,3,2,3,4,M,16,yes,yes,5,1,1,0,no,yes,no,yes,8,8,9,10
195,no,no,3,3,1,1,M,16,yes,yes,3,2,1,0,no,no,no,yes,0,13,14,14
196,yes,yes,3,2,1,1,F,17,yes,yes,5,1,2,0,no,no,no,yes,0,14,15,15
197,no,no,2,3,1,2,M,17,yes,yes,5,1,1,0,no,no,no,yes,4,17,15,16
198,yes,no,3,4,3,5,M,16,yes,yes,3,3,1,0,no,yes,yes,yes,8,9,9,10
199,no,no,2,4,2,3,F,17,yes,yes,2,2,1,1,no,yes,no,yes,24,18,18,18
200,no,no,5,2,1,2,F,16,yes,yes,3,1,2,0,no,yes,yes,yes,0,9,9,10
201,yes,no,3,5,1,5,F,16,yes,yes,2,1,2,0,no,yes,no,yes,2,16,16,16
202,yes,no,4,3,1,3,F,16,yes,no,4,1,2,0,yes,yes,yes,yes,6,8,10,10
203,no,no,4,4,1,3,F,17,no,no,1,1,2,0,no,yes,yes,yes,4,9,9,10
204,no,no,3,2,1,2,F,17,yes,yes,3,1,1,0,no,yes,no,yes,18,7,6,6
205,yes,no,3,5,1,1,F,16,no,yes,5,2,4,0,no,yes,yes,yes,6,10,10,11
206,no,yes,4,3,3,4,F,17,yes,yes,5,1,3,1,no,yes,yes,yes,28,10,9,9
207,no,no,3,3,2,2,F,16,yes,yes,4,1,2,3,no,yes,yes,yes,5,7,7,7
208,yes,yes,3,2,1,1,F,16,yes,yes,1,1,2,0,no,no,yes,yes,10,11,12,13
209,no,no,3,2,1,4,F,16,yes,no,5,2,1,0,no,yes,yes,yes,6,9,9,10
210,yes,yes,4,2,1,1,F,17,yes,yes,4,2,3,0,no,yes,yes,yes,6,7,7,7
211,yes,no,3,3,1,2,F,19,yes,yes,3,1,4,0,no,yes,yes,yes,10,8,8,8
212,no,yes,3,5,4,5,M,17,yes,yes,3,1,2,0,no,yes,yes,yes,13,12,12,13
213,no,no,3,4,1,1,F,16,yes,yes,4,1,2,0,yes,yes,yes,yes,0,12,13,14
214,yes,no,4,4,2,4,M,18,yes,yes,5,1,2,1,no,yes,yes,yes,15,6,7,8
215,no,no,2,1,1,2,F,17,yes,no,3,1,1,0,no,yes,yes,yes,12,8,10,10
216,no,no,4,4,1,3,F,17,yes,yes,1,2,2,0,no,no,yes,yes,2,14,15,15
217,no,yes,4,5,2,4,F,17,yes,yes,1,1,2,2,no,no,yes,yes,22,6,6,4
218,no,no,2,4,2,4,M,18,yes,yes,4,1,2,1,no,yes,yes,yes,13,6,6,8
219,no,no,3,3,1,4,F,17,yes,no,3,2,1,0,no,yes,yes,yes,3,7,7,8
220,yes,no,3,3,1,1,F,17,yes,yes,4,1,3,0,no,yes,yes,yes,4,9,10,10
221,yes,no,2,5,1,2,F,17,yes,yes,5,2,2,0,no,yes,no,yes,2,6,6,6
222,yes,yes,3,4,1,1,F,17,yes,no,5,1,3,1,no,yes,no,yes,0,6,5,0
223,no,no,3,1,1,1,F,16,yes,yes,3,1,2,0,yes,no,no,yes,2,16,16,17
224,no,no,3,3,5,5,M,18,yes,yes,4,2,2,0,no,yes,yes,yes,0,12,13,13
225,yes,no,3,2,1,1,F,16,no,yes,5,1,3,0,no,yes,no,yes,0,13,13,14
226,yes,yes,3,3,1,1,F,18,yes,yes,4,1,2,1,no,no,no,yes,16,9,8,7
227,yes,no,3,4,1,3,F,17,no,yes,3,1,2,0,no,no,no,yes,10,16,15,15
228,no,no,3,3,1,3,M,17,no,yes,3,1,2,0,no,yes,yes,yes,2,12,11,12
229,yes,yes,3,2,4,5,M,18,yes,yes,3,4,2,0,yes,yes,yes,yes,14,10,8,9
230,yes,yes,2,3,1,2,F,17,yes,yes,3,2,3,0,no,no,no,yes,10,12,10,12
231,yes,yes,2,3,1,2,F,17,yes,yes,3,1,2,0,no,no,no,yes,14,13,13,14
232,yes,no,5,2,1,1,M,17,yes,yes,1,2,2,0,no,yes,yes,yes,4,11,11,11
233,yes,yes,5,5,1,3,M,17,yes,yes,2,1,2,0,yes,yes,no,yes,14,11,9,9
234,yes,no,2,4,2,4,M,16,yes,yes,1,1,2,0,no,yes,yes,yes,2,14,13,13
235,no,no,4,2,1,1,M,16,yes,yes,5,2,2,0,no,yes,yes,yes,18,9,7,6
236,yes,yes,3,3,1,3,M,16,yes,yes,2,2,3,0,no,no,no,yes,10,11,9,10
237,yes,yes,4,2,5,5,M,17,no,yes,4,1,2,0,no,no,yes,yes,4,14,13,13
238,no,yes,5,2,1,1,F,16,yes,yes,5,1,1,0,no,no,no,yes,20,13,12,12
239,yes,no,1,1,1,1,F,17,yes,no,3,3,2,0,no,no,no,yes,2,13,11,11
240,no,no,5,4,3,5,M,18,yes,yes,2,1,2,1,no,no,no,no,0,7,7,0
241,yes,yes,5,5,1,4,M,17,yes,yes,5,2,2,0,no,no,no,yes,14,12,12,12
242,no,no,3,3,2,3,M,17,yes,yes,4,2,2,0,no,yes,yes,yes,2,10,11,12
243,yes,no,4,5,1,1,M,16,no,yes,3,1,1,0,no,no,no,yes,0,6,0,0
244,yes,no,3,2,1,2,M,16,yes,yes,5,1,1,0,no,no,no,yes,0,13,12,12
245,no,yes,4,4,1,1,F,18,no,yes,3,2,3,0,no,yes,yes,yes,0,7,0,0
246,no,no,3,3,1,1,M,16,yes,yes,4,3,1,0,no,no,no,yes,6,18,18,18
247,no,no,2,2,1,1,M,17,yes,yes,2,2,1,0,no,no,no,yes,4,12,12,13
248,no,yes,4,5,5,5,M,22,no,yes,1,1,1,3,no,no,no,no,16,6,8,8
249,no,yes,3,3,1,3,M,18,yes,yes,5,1,2,1,no,yes,no,yes,8,3,5,5
250,no,no,3,2,2,4,M,16,no,yes,5,1,1,0,no,no,yes,yes,0,13,15,15
251,no,no,4,5,2,4,M,18,yes,yes,5,2,1,1,no,no,no,no,0,6,8,8
252,no,no,3,3,1,3,M,16,no,yes,2,3,2,0,yes,yes,no,yes,6,7,10,10
253,no,no,2,5,2,5,M,18,no,yes,5,1,1,1,no,no,no,no,4,6,9,8
254,yes,no,3,2,1,3,M,16,no,no,3,2,1,0,no,no,no,yes,0,8,9,8
255,no,no,4,2,2,4,M,17,no,yes,5,1,1,0,no,no,no,yes,0,8,12,12
256,yes,no,4,4,1,2,M,17,yes,yes,5,2,1,1,no,yes,no,yes,2,7,9,8
257,yes,no,2,3,1,1,F,17,yes,yes,4,1,4,0,no,yes,yes,yes,6,14,12,13
258,no,no,3,1,1,1,M,19,yes,yes,1,1,2,0,no,yes,no,yes,12,11,11,11
259,yes,no,2,4,1,2,M,18,yes,yes,4,1,2,0,no,no,no,yes,8,15,14,14
