אין שינוי,"U- אורבן
R-כפרי
לשנות לבינארי ","משרת אם
לשנות לבינארי עובד או לא","משרת אב 
לשנות לבינארי עובד או לא","איכות היחסים במשפחה
1 נמוך עד 5 גבוה"
283,R,at_home,other,5
284,U,other,other,5
285,U,other,other,5
286,U,other,other,4
287,U,at_home,at_home,4
288,U,services,teacher,4
289,U,services,services,4
290,U,teacher,teacher,5
291,U,teacher,other,4
292,U,health,services,4
293,U,services,at_home,5
294,R,services,other,3
295,R,services,other,5
296,U,health,other,4
297,U,health,other,2
298,U,other,other,4
299,U,other,other,4
300,U,teacher,teacher,1
301,U,health,other,4
302,U,other,teacher,4
303,U,other,other,4
304,U,health,health,5
305,U,other,other,4
306,U,services,at_home,4
307,U,services,other,5
308,U,teacher,services,4
309,R,other,services,4
310,U,at_home,other,4
311,U,services,services,4
312,U,at_home,other,3
313,U,other,services,4
314,U,services,other,4
315,U,at_home,health,4
316,R,other,other,4
317,U,services,other,5
318,U,other,other,4
319,R,at_home,services,4
320,U,teacher,other,4
321,U,services,services,5
322,U,other,other,4
323,R,services,services,3
324,U,services,services,3
325,U,at_home,at_home,3
326,U,other,other,4
327,U,other,services,4
328,R,services,other,4
329,U,teacher,services,5
330,U,teacher,teacher,4
331,U,other,other,4
332,R,at_home,other,4
333,U,services,services,5
334,U,other,other,4
335,R,at_home,other,4
336,U,services,other,4
337,R,services,at_home,5
338,U,other,other,4
339,U,services,services,5
340,R,other,other,4
341,U,services,services,4
342,U,teacher,services,4
343,U,services,other,4
344,U,at_home,at_home,3
345,U,at_home,other,4
346,U,other,services,5
347,R,teacher,services,5
348,U,teacher,other,5
349,U,health,other,4
350,R,other,other,2
351,R,other,services,5
352,U,health,other,4
353,U,at_home,services,4
354,R,other,other,4
355,R,services,other,4
356,U,services,services,5
357,R,teacher,services,4
358,U,services,other,1
359,U,other,services,3
360,U,at_home,services,5
361,R,at_home,other,4
362,R,at_home,other,4
363,U,services,services,4
364,U,at_home,at_home,2
365,R,other,services,3
366,R,at_home,other,3
367,U,teacher,services,4
368,R,other,services,5
369,U,at_home,services,5
370,R,other,teacher,3
371,U,services,services,3
372,R,at_home,services,4
373,U,other,at_home,3
374,R,other,other,3
375,R,other,other,5
376,R,other,other,4
377,U,health,other,5
378,R,teacher,services,5
379,U,other,other,4
380,R,at_home,other,4
381,U,teacher,teacher,3
382,R,other,other,4
383,U,other,services,4
384,R,other,services,4
385,R,other,other,5
386,R,at_home,other,5
387,R,teacher,at_home,4
388,R,services,other,5
389,U,teacher,services,4
390,U,other,other,1
391,U,services,services,5
392,U,services,services,2
393,R,other,other,5
394,R,services,other,4
395,U,other,at_home,3
